110;P;1040512;4
110;P;1040513;5
110;P;1040514;6
110;P;1040640;7
110;P;1040636;8
110;P;1040639;9
110;P;1040644;10
110;P;1040645;11
110;P;1040506;12
110;P;1040499;13
110;P;1040501;14
110;P;1040502;15
110;P;1040503;16
110;P;1040504;17
110;P;1040488;18
110;P;1040489;19
110;P;1040490;20
110;P;1040491;21
110;P;1040492;22
110;P;1040493;23
110;P;1040494;24
110;P;1040495;25
110;P;1040496;26
110;P;1040497;27
110;P;1040498;28
110;P;1040500;29
110;P;1040507;30
110;P;1040508;31
110;P;1040505;32
110;P;1040637;33
110;P;1040638;34
110;P;1040635;35
110;P;1040641;36
110;P;1040642;37
110;P;1040643;38
110;P;1040728;39
111;P;1040747;1
111;P;1040748;2
111;P;1040749;3
111;P;1040750;4
111;P;1040751;5
111;P;1040761;6
111;P;1040752;7
111;P;1040753;8
111;P;1040757;9
111;P;1040742;10
111;P;1040743;11
111;P;1040744;12
111;P;1040738;13
111;P;1040739;14
111;P;1040740;15
111;P;1040741;16
111;P;1040729;17
111;P;1040730;18
111;P;1040731;19
111;P;1040732;20
111;P;1040733;21
111;P;1040734;22
111;P;1040735;23
111;P;1040736;24
111;P;1040737;25
111;P;1040745;26
111;P;1040746;27
111;P;1040762;28
111;P;1040763;29
111;P;1040754;30
111;P;1040755;31
111;P;1040756;32
111;P;1040758;33
111;P;1040759;34
111;P;1040760;35
112;P;1040833;1
112;P;1040834;2
112;P;1040835;3
112;P;1040781;4
112;P;1040782;5
112;P;1040831;6
112;P;1040832;7
112;P;1040776;8
112;P;1040777;9
112;P;1040778;10
112;P;1040767;11
112;P;1040768;12
112;P;1040769;13
112;P;1040770;14
112;P;1040771;15
112;P;1040772;16
112;P;1040773;17
112;P;1040774;18
112;P;1040775;19
112;P;1040780;20
112;P;1040764;21
112;P;1040765;22
112;P;1040779;23
112;P;1040766;24
112;P;1040786;25
112;P;1040829;26
112;P;1040830;27
112;P;1040836;28
112;P;1040837;29
112;P;1040838;30
112;P;1040839;31
112;P;1040840;32
112;P;1040841;33
112;P;1040842;34
113;P;1040861;1
113;P;1040862;2
113;P;1040863;3
113;P;1040869;4
113;P;1040870;5
113;P;1040871;6
113;P;1040872;7
113;P;1040865;8
113;P;1040852;9
113;P;1040860;10
113;P;1040844;11
113;P;1040845;12
113;P;1040846;13
113;P;1040847;14
113;P;1040848;15
113;P;1040849;16
113;P;1040850;17
113;P;1040851;18
113;P;1040858;19
113;P;1040859;20
113;P;1040856;21
113;P;1040857;22
113;P;1040843;23
113;P;1040853;24
113;P;1040854;25
113;P;1040855;26
113;P;1040866;27
113;P;1040867;28
113;P;1040868;29
113;P;1040864;30
113;P;1040873;31
113;P;1040874;32
114;P;1040918;1
114;P;1040917;2
114;P;1040924;3
114;P;1040925;4
114;P;1040923;5
114;P;1040911;6
114;P;1040912;7
114;P;1040881;8
114;P;1040901;9
114;P;1040902;10
114;P;1040903;11
114;P;1040904;12
114;P;1040905;13
114;P;1040906;14
114;P;1040907;15
114;P;1040908;16
114;P;1040909;17
114;P;1040910;18
114;P;1040877;19
114;P;1040878;20
114;P;1040879;21
114;P;1040880;22
114;P;1040913;23
114;P;1040914;24
114;P;1040915;25
114;P;1040916;26
114;P;1040921;27
114;P;1040922;28
